,Entity,mortality_rate,agriculture_land,hapiness_rate,literacy_rate,maternal_mortality,life_expectancy,birth_rate,terrorist_incidents,health_expenses,inflation_rate,basic_sanitation,gdp,population_density
90,Jordan,1.847299957275391,11.897950538726402,5.404593468,98.014351,58.0,74.181999,27.043000000000003,4.0,6.2844915,-0.8769133603468651,96.70805801896921,37517410281.6901,103.16852894796101
91,Kazakhstan,1.5350000381469733,80.376338111642,5.949995041,99.787849,12.0,69.692001,22.71,0.0,3.08749265,6.67828585615241,97.80530796767891,184388432148.715,6.49805756195133
92,Kenya,5.0369998931884785,48.54693045647821,4.357617855,78.023399,510.0,66.695,31.781999999999996,71.0,4.89013852,6.582174402503981,29.8446798143212,64007751187.8874,82.99585163580142
94,Kuwait,0.9904999732971193,8.38383804132907,6.1460318570000005,96.11770600000001,4.0,74.577003,16.872,1.0,4.01473617,3.27170166092134,100.0,114567298105.68301,220.863860830527
95,Kyrgyzstan,2.063299942016602,55.041710114702795,4.9053759569999995,99.50131999999999,76.0,70.80100300000001,27.4,3.0,7.21937462,6.503318389933809,96.5860782710499,6678178340.45121,31.0578727841502
96,Laos,5.500099945068358,10.2642980935875,,79.867462,197.0,66.334999,24.316999999999997,2.0,2.45366446,1.27735427102986,72.59428682589349,14390391264.2607,28.8733405545927
97,Latvia,0.6997000217437744,30.307172724348696,5.880597591,99.89269300000001,18.0,74.431,11.1,0.0,5.71063679,0.17424224362521398,92.8639822985734,26972863393.6384,31.803264715342603
98,Lebanon,1.0123000144958498,64.3206256109482,5.171971321,94.051102,15.0,79.408997,15.377,44.0,7.82593249,-3.74914524799635,95.3593653846154,49910270062.1559,571.992082111437
99,Lesotho,7.149900054931642,73.2542819499341,,79.36093100000001,487.0,53.744999,28.158,1.0,8.34570567,3.17186061878882,43.79110608173671,2510312804.7673697,71.6286231884058
100,Liberia,7.082599639892577,28.031561461794,2.701591253,47.60014,725.0,62.007,34.721,0.0,10.18906067,7.748696876213111,16.8894778100142,3177000000.0,46.7153343023256
102,Lithuania,0.4922999858856201,47.979248241719894,5.711378098,99.82328000000001,10.0,74.481003,10.8,0.0,6.47636009,-0.8841084346512859,93.6218408701642,41516701871.248,46.3702391214124
103,Luxembourg,0.37969999313354497,54.0205778899016,6.701571465,,10.0,81.629997,10.7,0.0,6.18960579,0.4747431614378,97.61098260890492,57204400105.015,219.924324324324
105,Macedonia,0.9479999542236328,50.0396510705789,4.975589752,97.843758,8.0,75.54900400000001,11.296,4.0,6.35398538,-0.301279046727296,90.9112030081396,10064515432.0265,82.4467882632831
106,Madagascar,4.897900009155274,71.18425575799242,3.592514038,64.65630300000001,353.0,65.539001,33.4,0.0,5.50418518,7.40419174202123,9.69366814011379,9744243531.20119,41.6536404262633
107,Malawi,7.85260009765625,61.4128128977514,3.86763835,65.963829,634.0,62.660999,37.053000000000004,0.0,9.33346903,21.8673475542553,43.529605445821296,6373212640.84604,186.398037759864
108,Malaysia,0.7445000171661378,26.0842177037361,6.3221211429999995,94.636993,40.0,75.14299799999999,17.09,5.0,3.89755195,2.10438980238344,99.57400673484541,296636282166.176,93.51135291432051
109,Maldives,0.8710000038146973,26.333333651224798,,99.321022,68.0,77.042,18.805999999999997,2.0,8.89896749,0.9532066587774191,95.86881806331742,4109424801.40835,1394.67666666667
110,Mali,11.433599853515629,33.7660528278383,4.582098483999999,33.068871,587.0,57.478001,43.218999999999994,121.0,4.11122936,1.45069057605952,31.268334036489502,13099495529.7113,14.315725419811699
111,Malta,0.5298999786376953,31.968748569488397,6.61339426,94.066612,9.0,80.694,9.7,1.0,9.35561461,1.1005482637893,99.9613567330935,10554669617.5194,1390.790625
113,Mauritania,8.900399780273437,38.5281847288251,3.922664165,52.123562,602.0,63.082001,34.574,0.0,4.64444537,3.25472688117633,44.620624337663,4844223106.95469,4.057767536625589
114,Mauritius,1.3395000457763668,42.3645320197044,,90.616043,53.0,74.569,10.1,0.0,5.78975132,1.2865497076023502,93.1491330307737,11692287066.381,621.972906403941
117,Mexico,2.1881000518798834,54.902646673011105,6.236287117000001,94.54559300000001,38.0,76.932999,18.512,19.0,5.65276786,2.7206406496402997,89.21839254781891,1170564619927.69,64.7603842691427
119,Moldova,1.54370002746582,74.78406029026,6.0174722670000005,99.244392,23.0,71.468002,10.524000000000001,0.0,10.17688536,9.676240331018608,78.3989439784143,6512885830.43282,123.806319016268
120,Mongolia,2.516900062561035,72.67405185509409,4.982719898,98.367638,44.0,69.086998,24.711,0.0,3.8824954,6.58005736460267,59.221530297857704,11749620619.5962,1.9161648085687102
121,Montenegro,0.6248000144958497,17.204460512749698,5.124921322,98.719948,7.0,76.938004,11.515999999999998,1.0,,1.54869158222488,95.9086871225424,4052913385.8267703,46.25717472118961
122,Morocco,2.9184999465942383,68.5447008738517,5.163156986000001,71.710548,121.0,75.572998,20.397000000000002,1.0,5.41232575,1.5579071134626898,83.466067685051,101179808076.36,77.98190006721941
123,Mozambique,9.847799682617188,63.5189094330985,4.549767494,58.836552000000005,489.0,57.714001,39.36,8.0,5.18223307,,23.560732181314396,14798413628.4625,35.6197906864366
124,Myanmar,5.459299850463869,19.521345011330897,4.2238464360000005,93.09005,178.0,66.46399699999999,18.004,37.0,5.19360297,9.48547255450258,64.6964737738349,59687410896.5734,80.2408112329271
